epoch	prec1_T	loss
0	19.680850982666016	2.810596242864081
1	14.893616676330566	3.897269188089574
2	14.893616676330566	3.6646369264480914
3	27.12765884399414	2.805029699142943
4	33.51063537597656	2.026957811193263
5	35.106380462646484	1.8688203578299665
6	37.76595687866211	2.0777418867070625
7	41.48936080932617	1.790183498504314
8	41.48936080932617	1.5865687486973215
9	47.872337341308594	1.441448964971177
10	50.53191375732422	1.425328254699707
11	48.9361686706543	1.7626753030939306
12	50.0	1.3546505481638806
13	60.106380462646484	1.0267726487301765
14	63.82978439331055	1.044886053876674
15	61.702125549316406	0.9940582298217936
16	71.80850982666016	0.9900928849869586
17	65.42552947998047	0.8918649376706874
18	68.0851058959961	0.9537571820806949
19	73.40425109863281	0.818777877599635
20	76.06382751464844	0.687961516228128
21	79.25531768798828	0.6357414430760323
22	79.25531768798828	0.5326702252347418
23	81.9148941040039	0.4870646849591681
24	84.04254913330078	0.45220849615462283
25	89.89361572265625	0.3713332991650764
26	88.29786682128906	0.33355105430521864
27	83.51063537597656	0.48092961596681716
28	88.82978820800781	0.35038939308612904
29	86.7021255493164	0.40995218303609404
30	84.04254913330078	0.48576016438768266
31	91.4893569946289	0.27568797053808863
32	88.29786682128906	0.3533826105772181
33	92.55319213867188	0.169121597358521
34	93.0851058959961	0.20262240190455255
35	97.34042358398438	0.11826022571705758
36	94.68084716796875	0.15605725807712434
37	94.14893341064453	0.15538301021653286
38	92.02127075195312	0.18859186499042713
39	90.95744323730469	0.2019816644965334
40	95.21276092529297	0.12847376059978566
41	94.68084716796875	0.14282831406973778
42	92.55319213867188	0.21162159701294087
43	92.02127075195312	0.19418223582683725
44	94.68084716796875	0.22470899362196314
45	99.46807861328125	0.06726283025234303
46	98.93616485595703	0.055776023523921664
47	97.8723373413086	0.06432493902901386
48	96.80850982666016	0.1205477957078751
49	98.40425109863281	0.0608931432696099
50	98.40425109863281	0.07399592858719382
51	98.93616485595703	0.04666396591099019
52	96.80850982666016	0.0749824325296473
53	96.27659606933594	0.08970621763233175
54	97.34042358398438	0.06780858795614318
55	100.0	0.021865277115176333
56	98.93616485595703	0.038112472346488464
57	100.0	0.014774977596119997
58	97.8723373413086	0.06733302173620843
59	99.46807861328125	0.05391693416428059
60	97.34042358398438	0.09498058283265601
61	96.27659606933594	0.12282172638051053
62	97.8723373413086	0.06734652817249298
63	100.0	0.014549762431651037
64	100.0	0.022301374478860103
65	99.46807861328125	0.017721694438381397
66	100.0	0.010188574288436707
67	100.0	0.004627235709352696
68	100.0	0.017300514355698165
69	99.46807861328125	0.01463897282039707
70	99.46807861328125	0.03456603491213173
71	99.46807861328125	0.013554231660004626
72	99.46807861328125	0.01842603107240606
73	100.0	0.010495804359224882
74	100.0	0.014686190285422701
75	100.0	0.005566862679304595
76	100.0	0.007150210816650949
77	100.0	0.00785398591270155
78	100.0	0.0065839240287846705
79	100.0	0.005749747749081159
80	100.0	0.007516268937987216
81	100.0	0.01180079285590414
82	99.46807861328125	0.01717941964322582
83	100.0	0.0069436757587530516
84	100.0	0.01922582322731614
85	100.0	0.004824553487544998
86	100.0	0.00994873348564068
87	99.46807861328125	0.020715057285145878
88	99.46807861328125	0.014672979113071206
89	100.0	0.01127366742436239
90	100.0	0.006296416714866745
91	100.0	0.003962438895386901
92	100.0	0.014716431647142831
93	100.0	0.006464606378861564
94	98.93616485595703	0.042055275350650574
95	100.0	0.01052355211713609
96	100.0	0.009541273035327012
97	100.0	0.004857726453337818
98	99.46807861328125	0.01709595624298016
99	100.0	0.005806886244248202
