epoch	prec1_T	loss
0	142.55319213867188	2.7297381898190114
1	129.7872314453125	2.7159156647134335
2	154.25531005859375	2.6853366177132787
3	105.31914520263672	2.671978400108662
4	167.55319213867188	2.6263951075837966
5	207.44680786132812	2.588963607524304
6	176.59573364257812	2.566019517310122
7	162.7659454345703	2.6043231385819454
8	176.06382751464844	2.607261596842015
9	197.34042358398438	2.551754200712163
10	212.7659454345703	2.5226755307075823
11	224.46807861328125	2.50303249663495
12	257.9787292480469	2.4423732897068593
13	295.7446594238281	2.421948458286042
14	296.2765808105469	2.4143885171159787
15	337.2340393066406	2.3627534965251353
16	330.8510437011719	2.3087248535866434
17	375.5318908691406	2.2994226255315415
18	417.5531921386719	2.216734460059633
19	435.10638427734375	2.1771868993627264
20	475.5318908691406	2.123407542705536
21	530.3191528320312	2.0215917476948273
22	576.0637817382812	1.969747283357255
23	552.1276245117188	1.9703777001259175
24	598.4042358398438	1.9063197716753533
25	584.574462890625	1.8808162798906893
26	675.5319213867188	1.7439720351645287
27	701.0637817382812	1.7008840105635055
28	759.574462890625	1.582818310628546
29	775.0	1.5158419479080971
30	812.7659301757812	1.562116303025408
31	874.4680786132812	1.4005991515327008
32	922.872314453125	1.3091123478209719
33	953.1914672851562	1.3322617440147604
34	1060.6383056640625	1.0592786531816138
35	1015.9573974609375	1.1626204017629014
36	1059.04248046875	1.0693305175989232
37	1089.3616943359375	0.9948378566731798
38	1126.595703125	0.9898203211895963
39	1188.2978515625	0.8461968908284573
40	1314.8935546875	0.6140041062806515
41	1338.2978515625	0.5625547855458362
42	1293.0850830078125	0.6473778663797581
43	1279.2552490234375	0.6730630182205363
44	1350.0	0.5100539750716788
45	1306.914794921875	0.5862448824212906
46	1304.2552490234375	0.6130615953910858
47	1354.2552490234375	0.48887142903627234
48	1341.4893798828125	0.5025973430577111
49	1372.34033203125	0.45911683229372857
50	1410.6383056640625	0.3694238404723558
51	1390.9573974609375	0.39545056739069046
52	1380.85107421875	0.41094433306220995
53	1345.2127685546875	0.4723136150377228
54	1413.8297119140625	0.3268749191960756
55	1327.6595458984375	0.5140946490809004
56	1398.9361572265625	0.3434663789862014
57	1424.468017578125	0.28966671440433317
58	1375.5318603515625	0.36312089250125784
59	1376.595703125	0.3970161419995922
60	1394.14892578125	0.35428278156100435
61	1427.1275634765625	0.2630135552918023
62	1416.4892578125	0.2878658249181636
63	1411.170166015625	0.28096985014432924
64	1381.3829345703125	0.3434844505477776
65	1414.8935546875	0.2726538015252098
66	1362.2340087890625	0.3906768011721842
67	1409.04248046875	0.29119005912241147
68	1419.14892578125	0.25564080417314744
69	1405.85107421875	0.2768560166649045
70	1360.6383056640625	0.36046918493477587
71	1400.5318603515625	0.2937652094368922
72	1414.8935546875	0.2601136919903628
73	1416.4892578125	0.2524893580678296
74	1439.3616943359375	0.20169049899708083
75	1461.7020263671875	0.15523193917296668
76	1421.276611328125	0.234384734401519
77	1428.19140625	0.22498643816389302
78	1370.2127685546875	0.333809862686123
79	1420.2127685546875	0.24196364492812056
80	1360.1063232421875	0.3556945197522006
81	1453.19140625	0.17081848224823146
82	1439.3616943359375	0.19731603473662696
83	1397.34033203125	0.27846484191398674
84	1407.9786376953125	0.26605878245244
85	1397.872314453125	0.2849485872392642
86	1456.914794921875	0.16613798766852694
87	1404.7872314453125	0.2704361407086253
88	1386.7020263671875	0.30058122487699096
89	1413.2978515625	0.25323550462564254
90	1423.4041748046875	0.2387489014542959
91	1421.8084716796875	0.24210456995531282
92	1407.44677734375	0.2770778466749223
93	1437.765869140625	0.2034353455528617
94	1457.44677734375	0.1537543824735157
95	1400.0	0.2725157168931625
96	1379.7872314453125	0.3061875030794676
97	1434.574462890625	0.20838081170903874
98	1400.0	0.2759730481007632
99	1431.3829345703125	0.21372103777297952
